"Date Time, GMT-07:00",Lake+Air pressure (kpa),Lake Temp (°C),Air pressure (kpa),Air Temp (°C),Lake pressure (kpa),Lake depth (m)
2023-06-02 22:00:00,160.82,1.33,90.097,7.782,70.723,7.217
2023-06-02 22:30:00,160.938,1.33,90.677,7.28,70.261,7.169
2023-06-02 23:00:00,161.174,1.33,90.802,7.079,70.372,7.181
2023-06-02 23:30:00,161.292,1.33,90.156,7.582,71.136,7.259
2023-06-03 00:00:00,161.411,1.33,90.44,7.179,70.971,7.242
2023-06-03 00:30:00,161.588,1.33,90.961,6.877,70.627,7.207
2023-06-03 01:00:00,161.765,1.33,91.221,5.86,70.544,7.198
2023-06-03 01:30:00,161.942,1.33,91.213,5.655,70.729,7.217
2023-06-03 02:00:00,162,1.221,91.879,4.831,70.121,7.155
2023-06-03 02:30:00,162.177,1.221,91.226,5.141,70.951,7.240
2023-06-03 03:00:00,162.295,1.221,91.992,4.311,70.303,7.174
2023-06-03 03:30:00,162.413,1.221,92.602,2.943,69.811,7.124
2023-06-03 04:00:00,162.472,1.221,91.592,3.472,70.880,7.233
2023-06-03 04:30:00,162.708,1.221,92.494,2.73,70.214,7.165
2023-06-03 05:00:00,162.649,1.221,92.933,2.088,69.716,7.114
2023-06-03 05:30:00,162.885,1.221,92.554,1.764,70.331,7.177
2023-06-03 06:00:00,162.886,1.33,91.853,2.517,71.033,7.248
2023-06-03 06:30:00,163.004,1.33,91.72,2.517,71.284,7.274
2023-06-03 07:00:00,163.004,1.33,92.268,2.088,70.736,7.218
2023-06-03 07:30:00,163.063,1.33,91.787,2.517,71.276,7.273
2023-06-03 08:00:00,163.122,1.33,90.655,5.86,72.467,7.395
2023-06-03 08:30:00,163.181,1.33,89.811,7.28,73.370,7.487
2023-06-03 09:00:00,163.122,1.33,90.211,7.28,72.911,7.440
2023-06-03 09:30:00,163.358,1.33,89.879,8.182,73.479,7.498
2023-06-03 10:00:00,163.83,1.33,90.238,7.983,73.592,7.509
2023-06-03 10:30:00,164.184,1.33,89.758,9.373,74.426,7.594
2023-06-03 11:00:00,164.479,1.33,89.935,9.669,74.544,7.607
