"Date Time, GMT-07:00",y,x_3d,y_3d,z
2023-06-02 10:00:11,2153,625641.2559595733,6742877.802583657,992.2158675629078
2023-06-02 11:00:11,2145,625640.8430685215,6742878.8982182145,991.8973432273981
2023-06-02 12:00:11,2144,625640.79145714,6742879.035172533,991.8575276854594
2023-06-02 13:00:11,-1,-1,-1,-1
2023-06-02 14:00:11,2150,625641.1011254289,6742878.213446615,992.0964209370918
2023-06-02 15:00:11,2157,625641.4740827929,6742877.224557568,992.3726608968971
2023-06-02 16:00:10,2154,625641.3099335078,6742877.6595176915,992.2551836268887
2023-06-02 17:00:10,2163,625641.8023813629,6742876.354637319,992.6076154369139
2023-06-02 18:00:10,2161,625641.6929485062,6742876.644610736,992.5292972569082
2023-06-02 19:00:10,2161,625641.6929485062,6742876.644610736,992.5292972569082
2023-06-02 20:00:10,2164,625641.8570977913,6742876.2096506115,992.6467745269167
2023-06-02 21:00:11,2160,625641.6382320778,6742876.789597443,992.4901381669054
2023-06-02 22:00:11,2160,625641.6382320778,6742876.789597443,992.4901381669054
2023-06-02 23:00:11,2160,625641.6382320778,6742876.789597443,992.4901381669054
2023-06-03 00:00:11,2156,625641.4193663644,6742877.369544275,992.3335018068941
2023-06-03 04:00:10,2163,625641.8023813629,6742876.354637319,992.6076154369139
2023-06-03 05:00:10,2166,625641.966530648,6742875.919677196,992.7250927069222
2023-06-03 06:00:10,2168,625642.0759635047,6742875.62970378,992.803410886928
2023-06-03 07:00:10,2169,625642.130679933,6742875.484717071,992.8425699769307
2023-06-03 08:00:11,2163,625641.8023813629,6742876.354637319,992.6076154369139
2023-06-03 09:00:11,2168,625642.0759635047,6742875.62970378,992.803410886928
2023-06-03 10:00:11,2168,625642.0759635047,6742875.62970378,992.803410886928
2023-06-03 11:00:11,2171,625642.2401127897,6742875.194743656,992.9208881569363
2023-06-03 12:00:11,2175,625642.4589785031,6742874.614796823,993.0775245169475
2023-06-03 13:00:10,2173,625642.3495456465,6742874.904770239,992.9992063369418
2023-06-03 14:00:11,2177,625642.5684113598,6742874.324823406,993.155842696953
2023-06-03 15:00:10,2175,625642.4589785031,6742874.614796823,993.0775245169475
2023-06-03 16:00:10,2180,625642.7325606447,6742873.889863282,993.2733199669615
2023-06-03 17:00:10,2180,625642.7325606447,6742873.889863282,993.2733199669615
2023-06-03 18:00:10,2183,625642.8967099299,6742873.454903159,993.3907972369699
2023-06-03 19:00:11,2183,625642.8967099299,6742873.454903159,993.3907972369699
2023-06-03 20:00:11,2185,625643.0061427866,6742873.164929742,993.4691154169755
2023-06-03 21:00:11,2180,625642.7325606447,6742873.889863282,993.2733199669615
2023-06-03 22:00:11,2188,625643.1702920715,6742872.729969619,993.5865926869839
2023-06-03 23:00:11,2187,625643.1155756433,6742872.874956327,993.547433596981
2023-06-04 00:00:11,2178,625642.6231277882,6742874.1798367,993.1950017869558
2023-06-04 04:00:10,2186,625643.060859215,6742873.019943034,993.5082745069783
2023-06-04 05:00:10,2184,625642.9514263582,6742873.309916451,993.4299563269726
2023-06-04 06:00:10,2181,625642.7872770733,6742873.744876575,993.3124790569643
2023-06-04 07:00:11,2194,625643.4985906417,6742871.86004937,993.8215472270006
2023-06-04 08:00:11,2186,625643.060859215,6742873.019943034,993.5082745069783
2023-06-04 09:00:11,2186,625643.060859215,6742873.019943034,993.5082745069783
2023-06-04 10:00:11,2189,625643.2250085,6742872.584982911,993.6257517769868
2023-06-04 11:00:10,2190,625643.2797249283,6742872.4399962025,993.6649108669894
2023-06-04 12:00:11,2190,625643.2797249283,6742872.4399962025,993.6649108669894
2023-06-04 13:00:10,2197,625643.4885844118,6742871.857457772,993.9701626792349
2023-06-04 14:00:10,-1,-1,-1,-1
2023-06-04 15:00:10,2194,625643.4985906417,6742871.86004937,993.8215472270006
2023-06-04 16:00:10,2197,625643.4885844118,6742871.857457772,993.9701626792349
2023-06-04 17:00:10,2196,625643.6080234984,6742871.570075955,993.8998654070065
2023-06-04 18:00:11,2197,625643.4885844118,6742871.857457772,993.9701626792349
